Node_for_0_eyes,Act_for_0_eyes,Frequency_for_0_eyes,0_output_weights_x,output_0_eyes_compScore,Node_for_0_mouth,Act_for_0_mouth,Frequency_for_0_mouth,0_output_weights_y,output_0_mouth_compScore,Node_for_0_forehead,Act_for_0_forehead,Frequency_for_0_forehead,0_output_weights_x,output_0_forehead_compScore,Node_for_0_nose,Act_for_0_nose,Frequency_for_0_nose,0_output_weights_y,output_0_nose_compScore
,,,,,,,,,,82,0.12050478289171522,0.2625250501002004,0.06389573638957365,0.014986292838515148,,,,,
,,,,,,,,,,58,0.11360109440654591,0.7555110220440882,0.06370965637096565,0.014086588506006581,,,,,
,,,,,,,,,,97,0.2151348325106976,0.3687374749498998,0.03308898530889853,0.013855181923755464,,,,,
,,,,,,,,,,121,0.03495266472878386,0.02004008016032064,0.20282604028260404,0.01379818786503604,,,,,
,,,,,,,,,,61,0.15296494169103161,0.8837675350701403,0.04565105456510546,0.013591292850297433,,,,,
,,,,,,,,,,112,0.07359329810216561,0.002004008016032064,0.08997670899767089,0.012888026518639798,,,,,
,,,,,,,,,,122,0.08642264217743294,0.7615230460921844,0.05705130570513058,0.009596462674553932,,,,,
,,,,,,,,,,15,0.12382055479421096,0.14829659318637275,0.03890928989092899,0.009377003989549954,,,,,
,,,,,,,,,,9,0.2448976223863867,0.036072144288577156,0.011413128141312815,0.005440105379712799,,,,,
,,,,,,,,,,8,0.025397712325049716,0.06813627254509018,0.10729135072913508,0.00530368061124364,,,,,
,,,,,,,,,,108,0.35892886153967246,0.2685370741482966,0.007511676151167617,0.005247630986347771,,,,,
,,,,,,,,,,78,0.07655530397761671,0.02404809619238477,0.029192837919283794,0.004349803633193828,,,,,
,,,,,,,,,,71,0.052797759639979444,0.4709418837675351,0.036723676672367665,0.003773807123958179,,,,,
,,,,,,,,,,50,0.09398086887509761,0.18036072144288579,0.0199292319929232,0.0036454241719054586,,,,,
,,,,,,,,,,70,0.21272417792969156,0.10821643286573146,0.005036235503623551,0.002085167439504675,,,,,
,,,,,,,,,,106,0.13189447774764146,0.06613226452905811,8.061528806152881e-05,2.0694840002798627e-05,,,,,
,,,,,,,,,,21,0.44751617815669914,0.9539078156312625,0.0,0.0,,,,,
